ID,Date,Value
1,01/01/2024,104.9671415
2,02/01/2024,98.61735699
3,03/01/2024,106.4768854
4,04/01/2024,115.2302986
5,05/01/2024,97.65846625
6,06/01/2024,97.65863043
7,07/01/2024,115.7921282
8,08/01/2024,107.6743473
9,09/01/2024,95.30525614
10,10/01/2024,105.4256004
11,11/01/2024,95.36582307
12,12/01/2024,95.34270246
13,13/01/2024,102.4196227
14,14/01/2024,80.86719755
15,15/01/2024,82.75082167
16,16/01/2024,94.37712471
17,17/01/2024,89.8716888
18,18/01/2024,103.1424733
19,19/01/2024,90.91975924
20,20/01/2024,85.87696299
21,21/01/2024,114.6564877
22,22/01/2024,97.742237
23,23/01/2024,100.675282
24,24/01/2024,85.75251814
25,25/01/2024,94.55617275
26,26/01/2024,101.1092259
27,27/01/2024,88.49006423
28,28/01/2024,103.7569802
29,29/01/2024,93.9936131
30,30/01/2024,97.0830625
31,31/01/2024,93.98293388
32,01/02/2024,118.5227818
33,02/02/2024,99.86502775
34,03/02/2024,89.42289071
35,04/02/2024,108.2254491
36,05/02/2024,87.7915635
37,06/02/2024,102.088636
38,07/02/2024,80.40329876
39,08/02/2024,86.71813951
40,09/02/2024,101.9686124
41,10/02/2024,107.3846658
42,11/02/2024,101.7136828
43,12/02/2024,98.84351718
44,13/02/2024,96.98896304
45,14/02/2024,85.2147801
46,15/02/2024,92.80155792
47,16/02/2024,95.39361229
48,17/02/2024,110.5712223
49,18/02/2024,103.4361829
50,19/02/2024,82.36959845
51,20/02/2024,200
52,21/02/2024,96.1491772
53,22/02/2024,93.23078
54,23/02/2024,106.1167629
55,24/02/2024,110.3099952
56,25/02/2024,109.3128012
57,26/02/2024,91.60782477
58,27/02/2024,96.90787624
59,28/02/2024,103.3126343
60,29/02/2024,109.7554513
61,01/03/2024,95.20825762
62,02/03/2024,98.14341023
63,03/03/2024,88.93665026
64,04/03/2024,88.03793376
65,05/03/2024,108.1252582
66,06/03/2024,113.5624003
67,07/03/2024,99.27989878
68,08/03/2024,110.035329
69,09/03/2024,103.6163603
70,10/03/2024,93.54880245
71,11/03/2024,103.6139561
72,12/03/2024,115.3803657
73,13/03/2024,99.64173961
74,14/03/2024,115.6464366
75,15/03/2024,73.80254896
76,16/03/2024,108.219025
77,17/03/2024,100.8704707
78,18/03/2024,97.0099265
79,19/03/2024,100.9176078
80,20/03/2024,80.12431085
81,21/03/2024,97.80328112
82,22/03/2024,103.5711257
83,23/03/2024,114.7789404
84,24/03/2024,94.81729782
85,25/03/2024,91.91506397
86,26/03/2024,94.98242956
87,27/03/2024,109.1540212
88,28/03/2024,103.2875111
89,29/03/2024,94.70239796
90,30/03/2024,105.1326743
91,31/03/2024,100.9707755
92,01/04/2024,109.6864499
93,02/04/2024,92.97946906
94,03/04/2024,96.72337853
95,04/04/2024,96.07891847
96,05/04/2024,85.36485052
97,06/04/2024,102.9612028
98,07/04/2024,102.6105527
99,08/04/2024,100.0511346
100,09/04/2024,97.65412867
101,10/04/2024,85.84629258
102,11/04/2024,95.79354677
103,12/04/2024,96.57285483
104,13/04/2024,91.97722731
105,14/04/2024,98.38714288
106,15/04/2024,104.0405086
107,16/04/2024,118.861859
108,17/04/2024,101.7457781
109,18/04/2024,102.5755039
110,19/04/2024,99.25554084
111,20/04/2024,80.81228785
112,21/04/2024,99.73486125
113,22/04/2024,100.6023021
114,23/04/2024,124.6324211
115,24/04/2024,98.07639035
116,25/04/2024,103.0154734
117,26/04/2024,99.6528823
118,27/04/2024,88.31321962
119,28/04/2024,111.4282281
120,29/04/2024,107.5193303
121,30/04/2024,107.9103195
122,01/05/2024,90.90612545
123,02/05/2024,114.0279431
124,03/05/2024,85.98148937
125,04/05/2024,105.8685709
126,05/05/2024,121.9045563
127,06/05/2024,90.09463675
128,07/05/2024,94.3370227
129,08/05/2024,100.9965137
130,09/05/2024,94.96524346
131,10/05/2024,84.49336569
132,11/05/2024,100.6856297
133,12/05/2024,89.37696286
134,13/05/2024,104.7359243
135,14/05/2024,90.80575766
136,15/05/2024,115.4993441
137,16/05/2024,92.16746708
138,17/05/2024,96.77938484
139,18/05/2024,108.1351722
140,19/05/2024,87.69135684
141,20/05/2024,102.2745993
142,21/05/2024,113.0714275
143,22/05/2024,83.92516765
144,23/05/2024,101.8463386
145,24/05/2024,102.5988279
146,25/05/2024,107.8182287
147,26/05/2024,87.63049289
148,27/05/2024,86.79543387
149,28/05/2024,105.2194157
150,29/05/2024,102.9698467
151,30/05/2024,20
152,31/05/2024,103.4644821
153,01/06/2024,93.19975278
154,02/06/2024,102.322537
155,03/06/2024,102.9307247
156,04/06/2024,92.85648582
157,05/06/2024,118.6577451
158,06/06/2024,104.7383292
159,07/06/2024,88.08696503
160,08/06/2024,106.5655361
161,09/06/2024,90.2531833
162,10/06/2024,107.870846
163,11/06/2024,111.5859558
164,12/06/2024,91.79317682
165,13/06/2024,109.6337613
166,14/06/2024,104.1278093
167,15/06/2024,108.2206016
168,16/06/2024,118.9679298
169,17/06/2024,97.54611884
170,18/06/2024,92.46263836
171,19/06/2024,91.1048557
172,20/06/2024,91.84189715
173,21/06/2024,99.22898291
174,22/06/2024,103.4115197
175,23/06/2024,102.766908
176,24/06/2024,108.2718325
177,25/06/2024,100.1300189
178,26/06/2024,114.5353408
179,27/06/2024,97.35343167
180,28/06/2024,127.2016917
181,29/06/2024,106.2566735
182,30/06/2024,91.42842444
183,01/07/2024,89.29107502
184,02/07/2024,104.8247242
185,03/07/2024,97.76537215
186,04/07/2024,107.1400049
187,05/07/2024,104.7323762
188,06/07/2024,99.27171087
189,07/07/2024,91.53206282
190,08/07/2024,84.85152775
191,09/07/2024,95.53485048
192,10/07/2024,108.5639879
193,11/07/2024,102.1409374
194,12/07/2024,87.54261221
195,13/07/2024,101.7318093
196,14/07/2024,103.8531738
197,15/07/2024,91.16142564
198,16/07/2024,101.5372511
199,17/07/2024,100.5820872
200,18/07/2024,88.57029702
